date,channel,platform,url_or_query,account_or_asset,owner_status,finding,risk_score,next_action
2026-06-22,search,web,"""Kamakaben""",unknown,unverified,"No reliable public result found in initial exact-name search",3,"Confirm official spelling and owned channels"
2026-06-22,owned,local_site,"/kamakaben.html","Kamakaben brand entity page",created,"Local landing page created with SEO metadata, scent territories, learning journey, and global roadmap",1,"Deploy to production and submit sitemap"
2026-06-22,owned,local_site,"/kamakaben-global-brand-blueprint.md","Global Brand Blueprint",created,"Strategic blueprint created for Thai scent culture positioning and global launch phases",1,"Convert into partner profile and press kit"
2026-06-22,owned,local_site,"/kamakaben-scent-learning-framework.md","Scent Learning Framework",created,"Learning and rehab framework created with Sense, Name, Decode, Ritualize, Reflect, Share model",1,"Turn into QR-ready scent card flow"
2026-06-22,owned,local_site,"/kamakaben-rain-on-teak.html","Rain On Teak scent card",created,"QR-ready scent knowledge page created",1,"Generate QR code and connect to physical scent card"
2026-06-22,owned,local_site,"/kamakaben-jasmine-at-dusk.html","Jasmine At Dusk scent card",created,"QR-ready scent knowledge page created",1,"Generate QR code and connect to physical scent card"
2026-06-22,owned,local_site,"/kamakaben-temple-morning.html","Temple Morning scent card",created,"QR-ready scent knowledge page created",1,"Generate QR code and connect to physical scent card"
2026-06-22,owned,local_site,"/kamakaben-river-market.html","River Market scent card",created,"QR-ready scent knowledge page created",1,"Generate QR code and connect to physical scent card"
2026-06-22,owned,local_site,"/kamakaben-golden-field.html","Golden Field scent card",created,"QR-ready scent knowledge page created",1,"Generate QR code and connect to physical scent card"
2026-06-22,owned,download,"/downloads/kamakaben-global-brand-profile.pdf","Kamakaben Global Brand Profile PDF",created,"Partner and press profile PDF generated",1,"Use for partner outreach and press kit"
2026-06-22,owned,asset,"/assets/kamakaben/rain-on-teak-access-card.svg","Rain On Teak access card SVG",created,"Printable access card with scent URL generated",1,"Replace URL block with verified QR matrix for production"
2026-06-22,owned,asset,"/assets/kamakaben/jasmine-at-dusk-access-card.svg","Jasmine At Dusk access card SVG",created,"Printable access card with scent URL generated",1,"Replace URL block with verified QR matrix for production"
2026-06-22,owned,asset,"/assets/kamakaben/temple-morning-access-card.svg","Temple Morning access card SVG",created,"Printable access card with scent URL generated",1,"Replace URL block with verified QR matrix for production"
2026-06-22,owned,asset,"/assets/kamakaben/river-market-access-card.svg","River Market access card SVG",created,"Printable access card with scent URL generated",1,"Replace URL block with verified QR matrix for production"
2026-06-22,owned,asset,"/assets/kamakaben/golden-field-access-card.svg","Golden Field access card SVG",created,"Printable access card with scent URL generated",1,"Replace URL block with verified QR matrix for production"
2026-06-22,owned,local_site,"/kamakaben-scent-passport.html","Global Scent Passport",created,"Interactive local passport for scent memory and learning entries",1,"Deploy and connect to analytics/database later"
2026-06-22,owned,document,"/kamakaben-partner-outreach-pack.md","Partner Outreach Pack",created,"Email, DM, follow-up, pilot packages, and partner questions created",1,"Use for first 20 partner targets"
2026-06-22,owned,document,"/kamakaben-global-market-entry-plan.md","Global Market Entry Plan",created,"First markets, GTM ladder, 90-day plan, metrics, and risks created",1,"Turn into execution tracker"
2026-06-22,owned,download,"/downloads/kamakaben-ux-research-booklet.html","Kamakaben UX Research Booklet",created,"Academic companion booklet and UX seed resource created from fragrance lab references, Karmakamet benchmark, and scent-memory research",1,"Use as next UX pilot brief and convert to final branded PDF when browser PDF export is available"
2026-06-22,owned,document,"/kamakaben-ux-research-booklet.md","Kamakaben UX Research Booklet Source",created,"Editable Markdown source for the UX research booklet",1,"Keep as living research note for Scent Lab and Scent Passport iterations"
2026-06-23,external,benchmark,"https://karmakamet-5qns9jr6.manus.space","Karmakamet Manus Benchmark",reviewed,"Karmakamet philosophy and value-page structure reviewed for UX/UI benchmark",1,"Use as reference for premium scent philosophy, not as copy source"
2026-06-23,owned,document,"/kamakaben-karmakamet-benchmark.md","Kamakaben x Karmakamet Benchmark Note",created,"Benchmark note translating Karmakamet UX/UI cues into Kamakaben product principles",1,"Apply next to Scent Lab hero and product principles"
2026-06-23,owned,asset,"/downloads/karmakamet-manus-benchmark-screenshot.png","Karmakamet Manus Benchmark Screenshot",created,"Full-page screenshot captured for visual benchmark archive",1,"Use internally only as design reference"
